"element"	"variable"	"slope"	"R2"	"p_value"
"1"	"N"	"sst"	"-0.00377416783843457"	"0.877198357323413"	"0.00000081796448505592"
"2"	"N"	"chloro"	"0.0754122162130403"	"0.815652056205799"	"0.0000234074457517791"
"3"	"P"	"sst"	"-0.00487794551561512"	"0.879263376507126"	"0.000000738095743638255"
"4"	"P"	"chloro"	"0.0994998130231615"	"0.851409237242013"	"0.00000702423578280847"
"5"	"Fe"	"sst"	"-0.0104773778998832"	"0.888175512641273"	"0.00000046392812718122"
"6"	"Fe"	"chloro"	"0.212069876012313"	"0.84883881871645"	"0.00000772875763176708"
"7"	"Cu"	"sst"	"-0.00197695960368671"	"0.801392154876195"	"0.000015203780856188"
"8"	"Cu"	"chloro"	"0.0368656335241858"	"0.654786272731417"	"0.000806345990584001"
"9"	"Mn"	"sst"	"-0.00627344711619553"	"0.872765356060634"	"0.00000101407382055516"
"10"	"Mn"	"chloro"	"0.131455925559998"	"0.891974592983186"	"0.00000119298175666039"
"11"	"Se"	"sst"	"-0.00368102871157072"	"0.882910603955695"	"0.000000612950124139016"
"12"	"Se"	"chloro"	"0.073257371335383"	"0.814888592142451"	"0.0000239548491977575"
"13"	"Zn"	"sst"	"-0.00441788767580425"	"0.877566652481275"	"0.000000803213182240067"
"14"	"Zn"	"chloro"	"0.0878368716782353"	"0.810348072202828"	"0.0000274331131499458"
"15"	"Co"	"sst"	"-0.00733281194223488"	"0.864569644174533"	"0.00000148067530353948"
"16"	"Co"	"chloro"	"0.144735051116303"	"0.785442126290951"	"0.0000547738179966843"
