"Geo_area"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"	"unit"
"1"	"Central North Atlantic"	238786.798866755	330954.374738317	466221.666066433	458498.295714856	644585.289510756	909718.680506184	"tons"
"2"	"Northeast Atlantic"	100034.234622445	171167.923983911	264419.292221807	260368.54146426	382249.681236629	538488.475620234	"tons"
"3"	"Gulf of Alaska"	10542.5307572796	18365.1692478025	31684.0677735316	30187.7569929102	53587.603748856	96037.6963711453	"tons"
"4"	"Northwest Atlantic"	11817.0196287437	16208.0633440083	23950.6012749102	23286.4464418659	35877.4592221814	54818.3297600527	"tons"
"5"	"California current"	19876.8678136795	30752.7343855077	42645.2083478997	42072.6342207192	57916.6812053323	74399.0525596799	"tons"
"6"	"Mediterranean Sea"	11648.6418123363	16500.238893058	23410.2811381665	22996.8503528651	32982.1712613968	45813.3257614224	"tons"
"7"	"West Indian ocean"	6042.34776081799	7601.14901655277	10380.418079128	9998.5265664943	13677.5047563676	1160729.13051105	"tons"
"8"	"Gulf of Mexico"	1393.78589139213	2166.96525233333	3490.93377953994	3390.24062135092	5396.43470993519	8067.7146791958	"tons"
"9"	"French Antilles"	367.855145191345	559.620432213791	1011.97329484253	958.056988160615	1766.76426221029	3449.93241690447	"tons"
"10"	"New Caledonia"	1052.52364384944	1798.62526849576	3173.88719810392	2957.20769602783	5749.77566516367	12883.0160625523	"tons"
"11"	"Hawaii"	7725.18951600479	11026.73434468	19900.1537394444	18400.4015936415	37730.8423241728	84896.9106876996	"tons"
"12"	"French Guyana"	116.177750665892	180.459922970923	336.445385584142	310.129373041595	653.413623743048	3520.33420175846	"tons"
"13"	"Wallis & Futuna"	221.50945197107	341.38273850854	550.368409977142	528.041597974019	880.198980456232	2629.41428465968	"tons"
"14"	"French Polynesia"	652.191410837225	893.316252604148	1309.06272013147	1280.38449356932	1900.62259617379	3184.71722520285	"tons"
"15"	"Central North Atlantic"	0.0855648610217092	0.118591418007209	0.167061965952918	0.164294438125215	0.230975292500999	0.325980970622248	"tons per km2"
"16"	"Northeast Atlantic"	0.0511336721768766	0.0874944917130005	0.135161022191477	0.133090433436653	0.195391407390084	0.275254699426801	"tons per km2"
"17"	"Gulf of Alaska"	0.0639123311323805	0.111335769872645	0.192079366689491	0.183008232605107	0.324865893611247	0.582212487018395	"tons per km2"
"18"	"Northwest Atlantic"	0.0261447163705515	0.0358597372567857	0.0529898144294837	0.051520396565961	0.0793775439941179	0.121283515515012	"tons per km2"
"19"	"California current"	0.0174082553476021	0.0269333910069808	0.0373488762530793	0.0368474131098506	0.0507237047989128	0.0651590440062811	"tons per km2"
"20"	"Mediterranean Sea"	0.00623245976643278	0.00882824596156824	0.0125253774358471	0.0123041764772197	0.0176466972465885	0.02451184560179	"tons per km2"
"21"	"West Indian ocean"	0.00430987959909299	0.00542173975628168	0.00740413393605029	0.00713173875051663	0.00975587653167214	0.827923680941079	"tons per km2"
"22"	"Gulf of Mexico"	0.00366369256895354	0.00569606461163447	0.00917623590954479	0.00891155481492335	0.0141850178479602	0.0212067194116052	"tons per km2"
"23"	"French Antilles"	0.00225664158757957	0.00343304356919079	0.00620804426012225	0.00587728966419616	0.0108383796221722	0.0211639311508771	"tons per km2"
"24"	"New Caledonia"	0.00194085127023683	0.00331666101511297	0.00585264097013447	0.00545308444777399	0.0106025736034735	0.0237562531118426	"tons per km2"
"25"	"Hawaii"	0.00315618526291902	0.00450505665455839	0.00813036001668728	0.00751762480665683	0.0154152242160995	0.0346852821959564	"tons per km2"
"26"	"French Guyana"	0.00105048873054499	0.00163173339395377	0.00304216671414491	0.00280421517479786	0.00590821946708726	0.0318311499878697	"tons per km2"
"27"	"Wallis & Futuna"	0.000948242516999446	0.00146139870936875	0.00235602915229941	0.00226045204612166	0.00376797508756949	0.0112560543007692	"tons per km2"
"28"	"French Polynesia"	0.000361572874269014	0.000495251730884755	0.00072574026957629	0.000709841150644772	0.00105369921096785	0.00176559724908433	"tons per km2"
