"element"	"variable"	"slope"	"R2"
"1"	"N"	"sst"	"-2.69738299347989"	"0.8007"
"2"	"N"	"chloro"	"1.02654262564555"	"0.8153"
"3"	"P"	"sst"	"-3.15569462098688"	"0.7875"
"4"	"P"	"chloro"	"1.09488169233942"	"0.83"
"5"	"Fe"	"sst"	"-4.32424676622801"	"0.7935"
"6"	"Fe"	"chloro"	"1.19199963346608"	"0.8304"
"7"	"Cu"	"sst"	"-3.41861556817393"	"0.7292"
"8"	"Cu"	"chloro"	"1.07176012363441"	"0.6934"
"9"	"Mn"	"sst"	"-4.82679597327582"	"0.7608"
"10"	"Mn"	"chloro"	"1.25243735932858"	"0.828"
"11"	"Se"	"sst"	"-2.5935884256181"	"0.8018"
"12"	"Se"	"chloro"	"1.01913344841239"	"0.8193"
"13"	"Zn"	"sst"	"-2.61034851884811"	"0.799"
"14"	"Zn"	"chloro"	"1.0338555945254"	"0.8265"
"15"	"Co"	"sst"	"-3.79710135620296"	"0.7808"
"16"	"Co"	"chloro"	"1.17767474443858"	"0.7934"
