"Geo_area"	"Eco_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"French Antilles"	"oceanic"	"N"	1.73671658167982	2.8633524342067	5.96872175856299	5.50406814368346	11.6649726636867	31.2964987389848
"2"	"French Antilles"	"oceanic"	"P"	0.162059084960668	0.275331012063491	0.582784102525547	0.53598791140671	1.1663977732776	2.61836149078614
"3"	"French Antilles"	"oceanic"	"Fe"	0.000571525655860813	0.00122548675506792	0.00362159046541256	0.00310161654132142	0.00890011698874855	0.0256815913924141
"4"	"French Antilles"	"oceanic"	"Cu"	0.000332802084196687	0.000637222164864831	0.00184637302772258	0.00159191653949638	0.00454006431090321	0.0130067173953059
"5"	"French Antilles"	"oceanic"	"Mn"	3.15045688207436e-05	5.21533815582566e-05	0.000128159527457914	0.000114136414639455	0.000283680025411362	0.000757986784159938
"6"	"French Antilles"	"oceanic"	"Se"	4.33235632735144e-05	6.82168940096201e-05	0.000153821441307743	0.000140754556391246	0.000314436984956241	0.000699347307229606
"7"	"French Antilles"	"oceanic"	"Zn"	0.00098962083365116	0.00158667256078335	0.003311485862982	0.00305892447414919	0.00645242561694431	0.0144129383901321
"8"	"French Antilles"	"oceanic"	"Co"	8.73673426181825e-07	1.77121043959281e-06	5.25845314780744e-06	4.45997075293153e-06	1.35112412896372e-05	3.9184297546753e-05
"9"	"French Antilles"	"oceanic"	"As"	0.000222926134769182	0.000519266374573576	0.00135297356417725	0.00119700035009147	0.00307064793526886	0.00898333956973663
"10"	"French Antilles"	"shelf"	"N"	4.85590472142952	7.75779501221345	16.1081283752282	14.8890592107026	31.2996519081471	91.9526889210626
"11"	"French Antilles"	"shelf"	"P"	0.41578601054227	0.746501755353414	1.5374595807924	1.42322428425639	2.97054412219629	10.0946709621118
"12"	"French Antilles"	"shelf"	"Fe"	0.00144398204202278	0.00319035349943183	0.00997840391826298	0.00822492566389409	0.0262862102989242	0.0955251279522226
"13"	"French Antilles"	"shelf"	"Cu"	0.000853367949706777	0.00197116160565726	0.005952633542727	0.00518597590277846	0.0143720674251703	0.0524820854665838
"14"	"French Antilles"	"shelf"	"Mn"	6.98182665386489e-05	0.000135656731816672	0.00032008659373132	0.000290388154818847	0.000687250595957517	0.00191816991154247
"15"	"French Antilles"	"shelf"	"Se"	0.000103043184079474	0.000187948739421152	0.000423287900978202	0.000385097115453478	0.00086269274269848	0.00287278831458692
"16"	"French Antilles"	"shelf"	"Zn"	0.00262456774651613	0.00454914431292753	0.00952037285778152	0.00878558792349247	0.0186307642180311	0.0492264153975712
"17"	"French Antilles"	"shelf"	"Co"	2.2861926270648e-06	4.40240306554416e-06	1.40678233700576e-05	1.12143387029917e-05	3.78957713094911e-05	0.000103486622975607
"18"	"French Antilles"	"shelf"	"As"	0.000794179998680088	0.00133749145510921	0.00334167547956919	0.00299419453461149	0.0073246363921214	0.0213008032782811
