"Geo_area"	"Eco_gp"	"Element"	"mean"	"mean_total"	"ratio_contribution"
"1"	"French Polynesia"	"Deep divers"	"N"	2556.36416984872	3952.92458944267	0.64670198279931
"2"	"French Polynesia"	"Deep divers"	"P"	185.907017351519	315.861452975986	0.588571399263628
"3"	"French Polynesia"	"Deep divers"	"Fe"	1.8402444528005	2.91290534677865	0.631755664438465
"4"	"French Polynesia"	"Deep divers"	"Cu"	1.34841660104617	1.6377571022528	0.823331249299037
"5"	"French Polynesia"	"Deep divers"	"Mn"	0.0491102527254553	0.094700166819869	0.518586760452797
"6"	"French Polynesia"	"Deep divers"	"Se"	0.076249953957019	0.119238984055247	0.639471684207658
"7"	"French Polynesia"	"Deep divers"	"Zn"	1.84468042284907	2.65299805434851	0.69531917666712
"8"	"French Polynesia"	"Deep divers"	"Co"	0.00401905269321423	0.00545615037495395	0.736609590465723
"9"	"French Polynesia"	"Deep divers"	"As"	0.671119784896437	0.973537889724962	0.689361751586307
"10"	"French Polynesia"	"Small delphinids"	"N"	1396.56041959395	3952.92458944267	0.35329801720069
"11"	"French Polynesia"	"Small delphinids"	"P"	129.954435624468	315.861452975986	0.411428600736372
"12"	"French Polynesia"	"Small delphinids"	"Fe"	1.07266089397815	2.91290534677865	0.368244335561535
"13"	"French Polynesia"	"Small delphinids"	"Cu"	0.289340501206632	1.6377571022528	0.176668750700963
"14"	"French Polynesia"	"Small delphinids"	"Mn"	0.0455899140944137	0.094700166819869	0.481413239547203
"15"	"French Polynesia"	"Small delphinids"	"Se"	0.0429890300982282	0.119238984055247	0.360528315792342
"16"	"French Polynesia"	"Small delphinids"	"Zn"	0.808317631499432	2.65299805434851	0.30468082333288
"17"	"French Polynesia"	"Small delphinids"	"Co"	0.00143709768173972	0.00545615037495395	0.263390409534277
"18"	"French Polynesia"	"Small delphinids"	"As"	0.302418104828525	0.973537889724962	0.310638248413693
