"Geo_area"	"Eco_gp"	"Element"	"mean"	"mean_total"	"ratio_contribution"
"1"	"French Guyana"	"Deep divers"	"N"	226.688336303891	1074.30870998922	0.211008562246661
"2"	"French Guyana"	"Deep divers"	"P"	16.805839338724	101.114322920732	0.166206318286866
"3"	"French Guyana"	"Deep divers"	"Fe"	0.167465529119615	0.782965220029392	0.213886293842438
"4"	"French Guyana"	"Deep divers"	"Cu"	0.104020035558312	0.201222805871918	0.516939593937093
"5"	"French Guyana"	"Deep divers"	"Mn"	0.00499744644915049	0.0325043238950414	0.153747128083253
"6"	"French Guyana"	"Deep divers"	"Se"	0.00694010535520682	0.0300417719566504	0.231015179970783
"7"	"French Guyana"	"Deep divers"	"Zn"	0.157282122428885	0.599683001754778	0.262275438804585
"8"	"French Guyana"	"Deep divers"	"Co"	0.000362208297885332	0.00107692074123766	0.336337006072573
"9"	"French Guyana"	"Deep divers"	"As"	0.061968398836421	0.287909148830725	0.215235948868214
"10"	"French Guyana"	"Small delphinids"	"N"	847.620373685329	1074.30870998922	0.788991437753339
"11"	"French Guyana"	"Small delphinids"	"P"	84.3084835820076	101.114322920732	0.833793681713134
"12"	"French Guyana"	"Small delphinids"	"Fe"	0.615499690909776	0.782965220029392	0.786113706157562
"13"	"French Guyana"	"Small delphinids"	"Cu"	0.0972027703136061	0.201222805871918	0.483060406062907
"14"	"French Guyana"	"Small delphinids"	"Mn"	0.0275068774458909	0.0325043238950414	0.846252871916746
"15"	"French Guyana"	"Small delphinids"	"Se"	0.0231016666014436	0.0300417719566504	0.768984820029217
"16"	"French Guyana"	"Small delphinids"	"Zn"	0.442400879325893	0.599683001754778	0.737724561195415
"17"	"French Guyana"	"Small delphinids"	"Co"	0.000714712443352332	0.00107692074123766	0.663662993927427
"18"	"French Guyana"	"Small delphinids"	"As"	0.225940749994304	0.287909148830725	0.784764051131786
