"Geo_area"	"Eco_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"Northwest Atlantic"	"oceanic"	"N"	10649.2260220971	15201.7355341637	22766.3744118766	22196.8703547302	33862.1603817802	50978.6978336326
"2"	"Northwest Atlantic"	"oceanic"	"P"	1000.14128425868	1524.40721695843	2312.21715163982	2259.30430333117	3442.26447247329	4990.09122599346
"3"	"Northwest Atlantic"	"oceanic"	"Fe"	4.6834311708148	8.12105535124193	16.0468161181265	15.172803500088	28.7458753822972	48.3320547269745
"4"	"Northwest Atlantic"	"oceanic"	"Cu"	2.15222398413944	3.52000480363788	6.84044519937952	6.49275213675085	12.1529850889903	21.8540137407108
"5"	"Northwest Atlantic"	"oceanic"	"Mn"	0.16608502586815	0.295980471297309	0.544095123805075	0.518158718957891	0.94001033994596	1.48072943671299
"6"	"Northwest Atlantic"	"oceanic"	"Se"	0.210399511810092	0.364867204418256	0.628906958396188	0.603478266421809	1.02652158646501	1.86063136693379
"7"	"Northwest Atlantic"	"oceanic"	"Zn"	4.36532876457335	8.44810929876923	13.6211914409682	13.2184752090345	21.0216344249177	35.8658109441838
"8"	"Northwest Atlantic"	"oceanic"	"Co"	0.00701162275026546	0.0129146728207725	0.0259042152184404	0.0245024569215039	0.0469126498550013	0.0887097482096275
"9"	"Northwest Atlantic"	"oceanic"	"As"	1.44025899592418	2.67359585002478	4.95083309583481	4.73996995346177	8.44442422398475	14.7604968181277
"10"	"Northwest Atlantic"	"shelf"	"N"	3183.53832796981	5793.89706314473	11644.3858168997	10750.581277448	22639.4898364223	53552.6554535054
"11"	"Northwest Atlantic"	"shelf"	"P"	404.858099445032	689.843840568646	1474.38686210388	1348.90784704026	3039.54157810017	7702.8136267746
"12"	"Northwest Atlantic"	"shelf"	"Fe"	1.86529592898514	3.58576944367222	8.90723469997022	7.93808639930258	19.5066763302294	55.728683744418
"13"	"Northwest Atlantic"	"shelf"	"Cu"	0.0438686460476616	0.392984415350699	1.07105569334622	0.938952251025064	2.48431877455631	17.2158813210719
"14"	"Northwest Atlantic"	"shelf"	"Mn"	0.047444556951073	0.124447187472249	0.37917110156133	0.322015401149167	0.972946737445489	2.58615688977349
"15"	"Northwest Atlantic"	"shelf"	"Se"	0.059873325217212	0.131863577044677	0.326624048534869	0.288017459883022	0.749014366966102	2.67539793658825
"16"	"Northwest Atlantic"	"shelf"	"Zn"	1.38349774225126	2.76685827070846	6.51277967488575	5.85031333640444	14.009412917292	58.5653636074429
"17"	"Northwest Atlantic"	"shelf"	"Co"	0.00215396052438161	0.00431816394227263	0.0108221562691847	0.00963689559382765	0.0242324658947801	0.0759434511400335
"18"	"Northwest Atlantic"	"shelf"	"As"	0.202090912999563	0.89291420351377	2.24466557166748	2.02815213165674	4.79509655727143	11.6169761116197
