"element"	"variable"	"slope"	"R2"	"p_value"
"1"	"N"	"sst"	"-0.00390919887247538"	"0.87205477756147"	"1.04889221143506e-06"
"2"	"N"	"chloro"	"0.0786196770243469"	"0.82211349048754"	"1.9174205793952e-05"
"3"	"P"	"sst"	"-0.00567285905209252"	"0.87301786797874"	"1.00193608893604e-06"
"4"	"P"	"chloro"	"0.116685082706876"	"0.860125695122383"	"5.01612567345703e-06"
"5"	"Fe"	"sst"	"-0.00728302242516539"	"0.882491192706829"	"6.26367722197087e-07"
"6"	"Fe"	"chloro"	"0.148725435727917"	"0.859321870610369"	"5.17874394106185e-06"
"7"	"Cu"	"sst"	"-0.00190542926150411"	"0.778422607082062"	"2.96744082589388e-05"
"8"	"Cu"	"chloro"	"0.0355613983539851"	"0.637658800900551"	"0.00106357442427914"
"9"	"Mn"	"sst"	"-0.00595684950938974"	"0.861856441627283"	"1.67002215144422e-06"
"10"	"Mn"	"chloro"	"0.126250147149872"	"0.901536596226602"	"7.13379523366481e-07"
"11"	"Se"	"sst"	"-0.00340598673463008"	"0.877937401594572"	"7.88589078658592e-07"
"12"	"Se"	"chloro"	"0.0682864645193238"	"0.823220934759084"	"1.85165148887308e-05"
"13"	"Zn"	"sst"	"-0.00379364079692775"	"0.869987068182595"	"1.1559532192932e-06"
"14"	"Zn"	"chloro"	"0.0759049986122071"	"0.814417936158116"	"2.4297538800628e-05"
"15"	"Co"	"sst"	"-0.00769798335226707"	"0.851863208466662"	"2.55179858848641e-06"
"16"	"Co"	"chloro"	"0.152908773715842"	"0.784242734965816"	"5.65145568533355e-05"
