"Eco_gp"	"Element"	"min"	"2.5_quant"	"10_quant"	"mean"	"median"	"90_quant"	"97.5_quant"	"max"
"1"	"Baleen whales"	"N"	0	0.230815265130888	0.312935885085899	0.483164726160637	0.482038767065571	0.656842160102601	0.738285709526841	1
"2"	"Baleen whales"	"P"	0	0.0903387636687762	0.136716666178843	0.265501760081929	0.248771581288072	0.419192718191421	0.524749857539289	0.809403167564729
"3"	"Baleen whales"	"Fe"	0.0729094876479456	0.127974991740809	0.179817006565022	0.283348551576553	0.262675258210319	0.416236264083383	0.576941020925122	0.728876040151366
"4"	"Baleen whales"	"Cu"	0.00259310728650808	0.0111323981691383	0.020214985544325	0.103714992311119	0.110271439663354	0.182582962699338	0.206335900467492	0.271047612349619
"5"	"Baleen whales"	"Mn"	0	0.0368930408000549	0.0693810890343293	0.166714955321598	0.113286370108278	0.383241167646732	0.622949527132856	0.782785790768335
"6"	"Baleen whales"	"Se"	0.000281819445287849	0.0616724464251749	0.101456410566067	0.18865624238664	0.165499551272269	0.296694043414737	0.526399754298548	1
"7"	"Baleen whales"	"Zn"	0.00321521818444128	0.0567214582198784	0.116696323838451	0.241159534555467	0.217890466886156	0.396720958033392	0.580113738124728	1
"8"	"Baleen whales"	"Co"	0.014936289449893	0.0254869687588642	0.0513547838251021	0.0941487434674354	0.0895154829971302	0.137620022298508	0.202222040801376	0.336328448708786
"9"	"Baleen whales"	"As"	0.00772760041047384	0.0204021837888246	0.0390019698644149	0.108705678383097	0.111875832921666	0.17283383776187	0.193161008159825	0.238926926834205
"10"	"Deep divers"	"N"	0.259437753382617	0.348692614986637	0.396774753879145	0.518891398664003	0.516686209483715	0.646144676215875	0.69853673431407	0.788270550131431
"11"	"Deep divers"	"P"	0.049501309298919	0.0935312485832631	0.116942785821529	0.198590357766252	0.185557303235948	0.285672032868013	0.411416222280008	0.714894295392287
"12"	"Deep divers"	"Fe"	0	0.035461961683222	0.0687047734768931	0.252636017962092	0.187437190378512	0.560470458350772	0.79742268455495	1
"13"	"Deep divers"	"Cu"	0.0339012263617716	0.0788328176653035	0.136302023770924	0.3659379951353	0.303306387674157	0.697133873190394	0.801188386221952	1
"14"	"Deep divers"	"Mn"	0.027794024389313	0.0447618208403471	0.0580187339555264	0.128780837735639	0.105940957345216	0.210345819373897	0.349153365076356	0.683468113851955
"15"	"Deep divers"	"Se"	0.0504267817764628	0.0767790916616927	0.0995295337621555	0.171500742367947	0.159392982024494	0.270856778579469	0.326708001879075	0.42148840442106
"16"	"Deep divers"	"Zn"	0.0811480311934246	0.161997420795617	0.197549960980226	0.296549972932265	0.290479027599838	0.403038983783745	0.480250907260288	0.700068917518442
"17"	"Deep divers"	"Co"	0	0.0148091948905564	0.0286788661104681	0.147442807647882	0.100561748400248	0.318502902232666	0.476893334112497	1
"18"	"Deep divers"	"As"	0.0315736309232958	0.0579511886589734	0.0724729309672178	0.142697048866118	0.121419044738153	0.222762235633723	0.435317277076911	0.956244184478993
"19"	"Small delphinids"	"N"	0.188346412456007	0.343274928080567	0.396695956846408	0.516497461718717	0.51387349494859	0.641169025655652	0.708737865320698	0.926885106409982
"20"	"Small delphinids"	"P"	0.0250451192351809	0.132817775231791	0.17737805150194	0.300855404505588	0.286855082158755	0.443842800089499	0.544081926000984	1
"21"	"Small delphinids"	"Fe"	0.0245212808659436	0.0950992663515784	0.142045533666483	0.2943925715585	0.269007549748932	0.484422134889183	0.632463146194285	0.984964759250594
"22"	"Small delphinids"	"Cu"	0	0.0135883309217867	0.0232036518345825	0.142068770303021	0.0957750849071465	0.344312813458829	0.49179926507811	0.761013918537852
"23"	"Small delphinids"	"Mn"	0.000266276014030121	0.0542333506533353	0.0825242107927697	0.211326822476058	0.178705483403971	0.387779567155865	0.54476334860876	1
"24"	"Small delphinids"	"Se"	0	0.0688380692658872	0.0972499155070351	0.173476360527584	0.156222168702196	0.268179540682132	0.383578514721778	0.949002498486035
"25"	"Small delphinids"	"Zn"	0	0.0796888204694297	0.121497505278184	0.239623165534033	0.225610932125604	0.372492970687941	0.481669067903141	0.989009592474118
"26"	"Small delphinids"	"Co"	0.00405439744249191	0.0255546020599733	0.0439936829430617	0.110317800655128	0.0920957870381219	0.188484324102717	0.298002940928084	0.630789114820164
"27"	"Small delphinids"	"As"	0	0.0338498110618552	0.051201438115135	0.12816926552944	0.0980953413588233	0.2358700770858	0.434338373891859	1
