"Eco_gp"	"Element"	"min"	"2.5_quant"	"10_quant"	"mean"	"median"	"90_quant"	"97.5_quant"	"max"
"1"	"Baleen whales"	"N"	0	0.257172360220321	0.349723664422597	0.493001725192343	0.494446926299838	0.634716129760629	0.710015966955249	1
"2"	"Baleen whales"	"P"	0	0.128244669745815	0.183859903546924	0.304740983980452	0.297151063066063	0.435868381278408	0.522716459905432	0.722060991853614
"3"	"Baleen whales"	"Fe"	0.0110106163579097	0.0661181974050438	0.120568964445465	0.25467136914924	0.247305024859573	0.397141507431723	0.495112976281148	0.653165479843071
"4"	"Baleen whales"	"Cu"	0	0.0140734539969838	0.0232200521844125	0.106272199835121	0.0955779695496552	0.213747472694507	0.267902702345949	0.437198546794758
"5"	"Baleen whales"	"Mn"	0	0.0234501324072401	0.051339692110023	0.170507330611866	0.131267984166264	0.362626298526812	0.57841100059246	0.77242630404008
"6"	"Baleen whales"	"Se"	0	0.0465701528539803	0.0885897667766772	0.21059044722439	0.192739675567327	0.343959285631264	0.500530061483789	1
"7"	"Baleen whales"	"Zn"	0	0.072363070210762	0.140782279766982	0.307922660265115	0.294016340424179	0.489878335065437	0.621661164851318	1
"8"	"Baleen whales"	"Co"	0	0.0188698023449535	0.0353615262687019	0.0919788619612898	0.0866825198046364	0.150193861442755	0.205882602600199	0.354985825539857
"9"	"Baleen whales"	"As"	0	0.0179690663793989	0.0311726693818589	0.0918693821546057	0.0798535148081221	0.170196171793802	0.212570213332003	0.346508592225262
"10"	"Deep divers"	"N"	0.32758411441823	0.397253931415903	0.430349834906167	0.511953745362115	0.509765947022042	0.597656557770744	0.635612521336443	0.731778506097765
"11"	"Deep divers"	"P"	0.141992682531931	0.170203099882344	0.188650359802847	0.248809938972774	0.237163875196965	0.311047143572249	0.438812330628813	0.645240152698501
"12"	"Deep divers"	"Fe"	0	0.0360004671075801	0.0696404515574083	0.220441473656467	0.173102693874538	0.46280296218953	0.639693038604965	1
"13"	"Deep divers"	"Cu"	0.0378152735487018	0.0941134751178641	0.165076907316072	0.366356313302638	0.33762360950448	0.615600014226889	0.722293168130439	1
"14"	"Deep divers"	"Mn"	0.0336768329702038	0.051285285707488	0.0656439497781473	0.132600747977722	0.112756854349688	0.212255582019623	0.337766375832681	0.715352929772978
"15"	"Deep divers"	"Se"	0.071090956396954	0.106837872465192	0.129088078958114	0.194071823369089	0.183772738228532	0.278682614177107	0.334047628409848	0.460872073124811
"16"	"Deep divers"	"Zn"	0.143623320874893	0.228405572357882	0.26387407920168	0.350435783592124	0.34455795403476	0.443141292248282	0.504766119145269	0.704400502049322
"17"	"Deep divers"	"Co"	0.000868683392671151	0.0155701884424457	0.0302018140288191	0.139761750934878	0.0960386421399737	0.297936204896966	0.472887268506136	1
"18"	"Deep divers"	"As"	0.0267737587336317	0.0506871022182267	0.0644692022749942	0.123349197559457	0.107366397875546	0.185564753017862	0.304178405001705	0.97682888154895
"19"	"Small delphinids"	"N"	0.275555231430652	0.395816793853137	0.432741288691438	0.517590163168215	0.515147646708396	0.606010688019863	0.653770307296354	0.818968143739582
"20"	"Small delphinids"	"P"	0.119766770869163	0.205413186575287	0.241943704671228	0.338213089563829	0.326574219781061	0.448213215759071	0.532782098659763	1
"21"	"Small delphinids"	"Fe"	0.0197573070142893	0.0931937574647456	0.131634423759363	0.257132643554296	0.23643340859646	0.414700786821974	0.528901624652863	0.846382364253531
"22"	"Small delphinids"	"Cu"	0.00274386223481681	0.015418325087163	0.0224021586739593	0.128907989825559	0.0873539730458188	0.298249253257286	0.410710407981791	0.747938409721902
"23"	"Small delphinids"	"Mn"	0.00884565806682465	0.059215329027161	0.0888519773131173	0.208427779335207	0.182940779478484	0.362843273586257	0.496335618817759	1
"24"	"Small delphinids"	"Se"	0.0346752622942767	0.0939543852140514	0.122329736064948	0.195961693169024	0.182088263064217	0.281198292416494	0.387883752649236	0.95947017679405
"25"	"Small delphinids"	"Zn"	0.0862369493312742	0.153793684113696	0.191645052889121	0.301224956049312	0.289694947197991	0.422546242430125	0.520467094232191	0.98697092508742
"26"	"Small delphinids"	"Co"	0.00417773982626994	0.0263069027943577	0.0434439454050884	0.104839505541225	0.0867137379305886	0.179131480952867	0.301230170304019	0.641242961804424
"27"	"Small delphinids"	"As"	0.00178581198717475	0.0311431031626187	0.0468961232255932	0.109690499814374	0.0874358383682041	0.194450637648198	0.331934106246326	1
