"element"	"variable"	"slope"	"R2"
"1"	"N"	"sst"	"-0.0267732094176803"	"0.81447722386909"
"2"	"N"	"chloro"	"0.570818508470108"	"0.8608603528708"
"3"	"P"	"sst"	"-0.0260928838240391"	"0.816279775689854"
"4"	"P"	"chloro"	"0.565222558448008"	"0.889476385347184"
"5"	"Fe"	"sst"	"-0.00535732270242658"	"0.859195780521608"
"6"	"Fe"	"chloro"	"0.110505546223032"	"0.849687667893703"
"7"	"Cu"	"sst"	"-0.021411504416611"	"0.846115611046899"
"8"	"Cu"	"chloro"	"0.41833481987831"	"0.751563980811004"
"9"	"Mn"	"sst"	"-0.00507029865818266"	"0.854498008858416"
"10"	"Mn"	"chloro"	"0.106028807108834"	"0.866027597953936"
"11"	"Se"	"sst"	"-0.0182047248676184"	"0.804917275762236"
"12"	"Se"	"chloro"	"0.392882560542505"	"0.873176905243828"
"13"	"Zn"	"sst"	"-0.0216092962285258"	"0.813974905731187"
"14"	"Zn"	"chloro"	"0.459008499982267"	"0.856437861202735"
"15"	"Co"	"sst"	"-0.0147177382641508"	"0.853689431661215"
"16"	"Co"	"chloro"	"0.299006952511261"	"0.81793123448215"
